id,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
9154081,7040480,Ursula,Mitte,Moabit West,52.5239219665527,13.3387079238892,Private room,30,1,69,1,0
15091824,13593724,Ute,Charlottenburg-Wilm.,Barstraße,52.4837150573730,13.3158054351807,Entire home/apt,30,30,0,3,298
25571216,91459565,V.,Neukölln,Reuterstraße,52.4880943298340,13.4351863861084,Private room,30,1,1,2,82
14208041,86248756,Valentina,Tempelhof - Schöneberg,Schöneberg-Süd,52.4792022705078,13.3471994400024,Private room,30,2,19,1,2
6650047,34808186,Valentine,Charlottenburg-Wilm.,Neue Kantstraße,52.5096168518066,13.2864656448364,Private room,30,3,13,1,0
13258487,36375346,Valeria,Neukölln,Reuterstraße,52.4882354736328,13.4327487945557,Private room,30,1,27,1,348
19172791,7782518,Valerie,Mitte,Moabit Ost,52.5324745178223,13.3499431610107,Private room,30,3,4,1,0
17453626,7133966,Vandana,Reinickendorf,Ost 2,52.5746078491211,13.3378000259399,Entire home/apt,30,6,0,1,0
18117907,10783994,Ventsy,Neukölln,Reuterstraße,52.4872970581055,13.4287509918213,Private room,30,7,10,1,0
1511192,8045818,Vera,Neukölln,Rixdorf,52.4707603454590,13.4500598907471,Private room,30,1,5,2,0
24152722,90460669,Vera,Mitte,Parkviertel,52.5465164184570,13.3492231369019,Private room,30,1,0,1,0
6454540,33708568,Versele,Neukölln,Rixdorf,52.4774818420410,13.4391670227051,Private room,30,5,15,1,0
15576874,100238469,Victor,Neukölln,Neuköllner Mitte/Zentrum,52.4684410095215,13.4342985153198,Private room,30,2,7,1,0
27977593,34884174,Victor,Tempelhof - Schöneberg,Schöneberg-Süd,52.4872589111328,13.3622598648071,Private room,30,2,2,1,1
13729739,5861264,Victoria,Charlottenburg-Wilm.,Kurfürstendamm,52.5024070739746,13.3162336349487,Private room,30,18,0,1,37
17733737,120934399,Victoria,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.4887695312500,13.3945293426514,Private room,30,2,13,1,20
5760060,22583347,Viktor,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.4981346130371,13.4403886795044,Private room,30,2,10,1,0
16292538,63939200,Vincent,Tempelhof - Schöneberg,Schöneberg-Süd,52.4816703796387,13.3471736907959,Private room,30,4,8,1,0
19904108,136562176,Vincent,Tempelhof - Schöneberg,Schöneberg-Süd,52.4826812744141,13.3437070846558,Private room,30,20,27,2,0
21961730,92601211,Vincent,Neukölln,Reuterstraße,52.4910049438477,13.4266510009766,Entire home/apt,30,2,1,2,0
23196144,62245695,Vincent,Mitte,Moabit West,52.5301322937012,13.3274450302124,Entire home/apt,30,2,12,1,0
26710612,147333430,Viola,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.4969444274902,13.4001283645630,Private room,30,1,17,2,3
28747282,109609287,Viral,Steglitz - Zehlendorf,Lankwitz,52.4327278137207,13.3449363708496,Private room,30,1,6,1,110
23279527,102911074,Vivian,Mitte,Moabit West,52.5303649902344,13.3268079757690,Private room,30,3,2,2,0
6664900,34887860,Viviana,Charlottenburg-Wilm.,Schloß Charlottenburg,52.5200881958008,13.2855157852173,Private room,30,1,2,1,0
26278233,94941366,Vivien,Pankow,Prenzlauer Berg Nord,52.5426559448242,13.4397830963135,Private room,30,1,7,2,20
6023963,31268003,Voin,Neukölln,Reuterstraße,52.4862937927246,13.4240617752075,Entire home/apt,30,7,1,1,0
29850644,2534647,Vugar,Charlottenburg-Wilm.,Westend,52.5088424682617,13.2731180191040,Entire home/apt,30,7,0,1,364
13535999,69618761,Waldemar,Charlottenburg-Wilm.,Volkspark Wilmersdorf,52.4781723022461,13.3258295059204,Private room,30,2,6,11,29
20012832,141981627,Wenke,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.4933357238770,13.4340295791626,Private room,30,2,1,2,0
14241790,86645318,Wiebke,Reinickendorf,West 1,52.5767898559570,13.2716836929321,Private room,30,2,6,1,0
14415264,32281055,William,Neukölln,Reuterstraße,52.4889373779297,13.4257869720459,Private room,30,3,9,1,0
15755581,14222309,William,Neukölln,Schillerpromenade,52.4856491088867,13.4230489730835,Private room,30,2,17,3,0
16717957,54622394,Wladimirowna Mascha,Neukölln,Schillerpromenade,52.4694976806641,13.4249858856201,Private room,30,3,8,1,318
4148292,21519776,Yael,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.5178718566895,13.4620094299316,Private room,30,30,2,1,87
22772035,11573470,Yanick Antonio,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.5065116882324,13.4684095382690,Private room,30,2,1,2,0
